flightId,airlineName,flightCode,departureAirportCode,arrivalAirportCode,departureTime,arrivalTime,durationMinutes,price
29,NubeAir,NU,AEY,PRN,2025-08-08 17:43:00,2025-08-08 22:33:00,290,386.45
30,SkyBridge,SK,HER,JER,2025-07-26 12:08:00,2025-07-26 16:48:00,280,203.21
31,EuroWings,EU,MCM,KBP,2025-08-07 22:06:00,2025-08-08 00:03:00,117,93.46
32,SkyBridge,SK,BZY,LHR,2025-08-19 04:27:00,2025-08-19 05:44:00,77,314.28
33,CloudJet,CL,MBX,IEV,2025-12-13 05:51:00,2025-12-13 07:09:00,78,75.14
34,CloudJet,CL,AGP,LHR,2025-12-13 04:38:00,2025-12-13 06:54:00,136,61.83
35,Aetherium Air,AE,BEG,KVO,2025-12-26 15:00:00,2025-12-26 16:22:00,82,258.74
36,EuroWings,EU,SPU,MBX,2025-09-20 18:02:00,2025-09-20 19:32:00,90,468.26
37,EuroWings,EU,DEB,ZAG,2025-12-09 13:45:00,2025-12-09 15:19:00,94,322.41
38,Aetherium Air,AE,TZL,BBU,2025-11-16 20:57:00,2025-11-16 22:05:00,68,316.15
39,EuroWings,EU,OUL,DME,2025-10-31 20:13:00,2025-11-01 00:26:00,253,336.38
40,SkyBridge,SK,BTS,PRN,2025-11-14 18:45:00,2025-11-14 23:43:00,298,237.94
41,SkyBridge,SK,DBV,BZY,2025-09-08 05:21:00,2025-09-08 07:56:00,155,285.78
42,CloudJet,CL,BEG,TIV,2025-08-09 01:25:00,2025-08-09 02:43:00,78,87.54
43,SkyBridge,SK,HEL,RIX,2025-09-15 04:21:00,2025-09-15 09:11:00,290,493.47
44,SkyBridge,SK,SKG,CLJ,2025-10-26 09:03:00,2025-10-26 13:01:00,238,223.39
45,Aetherium Air,AE,BUD,SKG,2025-07-21 19:13:00,2025-07-21 21:38:00,145,385.35
46,SkyBridge,SK,STN,GCI,2025-07-14 18:50:00,2025-07-14 19:54:00,64,292.79
47,EuroWings,EU,DEB,TIA,2025-09-01 15:41:00,2025-09-01 19:19:00,218,268.94
48,Aetherium Air,AE,DME,BZY,2025-08-25 13:01:00,2025-08-25 14:55:00,114,426.21
49,EuroWings,EU,BZY,TZL,2025-08-25 20:03:00,2025-08-25 23:42:00,219,286.01
50,CloudJet,CL,SJJ,HER,2025-11-12 21:11:00,2025-11-13 00:08:00,177,107.55
51,EuroWings,EU,BZY,NYO,2025-08-11 23:15:00,2025-08-12 01:28:00,133,434.15
52,SkyBridge,SK,SKG,TAY,2025-11-23 09:07:00,2025-11-23 13:17:00,250,444.77
53,SkyBridge,SK,FCO,RIX,2025-10-15 16:27:00,2025-10-15 20:19:00,232,50.84
54,Aetherium Air,AE,ZAG,MUC,2025-10-26 23:45:00,2025-10-27 04:08:00,263,54.26
55,CloudJet,CL,KSC,CPH,2025-11-17 09:42:00,2025-11-17 13:12:00,210,383.15
56,Aetherium Air,AE,KVO,JER,2025-11-22 22:16:00,2025-11-23 02:46:00,270,70.8
57,SkyBridge,SK,PLQ,IOM,2025-09-23 06:44:00,2025-09-23 10:06:00,202,333.22
58,SkyBridge,SK,KLV,ORK,2025-11-22 07:56:00,2025-11-22 11:06:00,190,357.04
59,EuroWings,EU,LHR,SZG,2025-09-18 17:23:00,2025-09-18 21:21:00,238,114.21
60,Aetherium Air,AE,SKG,TEQ,2025-09-13 05:43:00,2025-09-13 10:24:00,281,241.42
61,NubeAir,NU,BRQ,MSQ,2025-08-13 01:40:00,2025-08-13 05:05:00,205,216.67
62,SkyBridge,SK,TIA,KFZ,2025-12-26 09:15:00,2025-12-26 10:45:00,90,131.28
63,CloudJet,CL,BZY,FAE,2025-07-01 16:18:00,2025-07-01 20:48:00,270,301.52
64,SkyBridge,SK,CLJ,URE,2025-10-01 20:21:00,2025-10-02 00:08:00,227,208.9
65,NubeAir,NU,ORK,MAD,2025-12-24 00:14:00,2025-12-24 02:03:00,109,351.86
66,CloudJet,CL,CPH,MXP,2025-10-23 13:29:00,2025-10-23 18:27:00,298,297.05
67,NubeAir,NU,FCO,AAL,2025-07-13 04:40:00,2025-07-13 07:06:00,146,251.73
68,SkyBridge,SK,KBP,ARN,2025-09-17 07:39:00,2025-09-17 12:21:00,282,480.44
69,Aetherium Air,AE,BRN,AGP,2025-08-21 13:31:00,2025-08-21 17:22:00,231,414.69
70,CloudJet,CL,CRL,VNT,2025-09-10 07:46:00,2025-09-10 08:57:00,71,185.82
71,CloudJet,CL,GIB,TIV,2025-11-18 18:42:00,2025-11-18 22:48:00,246,54.01
72,SkyBridge,SK,GDN,ANR,2025-08-21 15:06:00,2025-08-21 19:20:00,254,486.41
73,SkyBridge,SK,BLL,INI,2025-10-21 05:23:00,2025-10-21 07:19:00,116,350.32
74,NubeAir,NU,SZG,VCE,2025-07-24 03:02:00,2025-07-24 04:35:00,93,423.51
75,EuroWings,EU,MXP,LPX,2025-12-30 06:00:00,2025-12-30 08:10:00,130,117.64
76,EuroWings,EU,WAW,IEV,2025-11-23 01:00:00,2025-11-23 04:41:00,221,115.57
77,SkyBridge,SK,SOF,TIA,2025-07-05 04:35:00,2025-07-05 08:39:00,244,335.05
78,NubeAir,NU,MLA,TZL,2025-09-01 05:02:00,2025-09-01 07:36:00,154,185.05
79,CloudJet,CL,TIV,RVN,2025-12-17 08:51:00,2025-12-17 11:13:00,142,79.89
80,CloudJet,CL,INN,SPU,2025-11-11 17:48:00,2025-11-11 21:09:00,201,137.88
81,Aetherium Air,AE,RTM,GME,2025-11-08 17:52:00,2025-11-08 19:12:00,80,407.05
82,CloudJet,CL,RTM,SPU,2025-10-31 10:16:00,2025-10-31 12:39:00,143,471.66
83,CloudJet,CL,ODS,ZRH,2025-07-11 07:39:00,2025-07-11 09:24:00,105,305.59
84,CloudJet,CL,KUN,AAL,2025-12-20 22:38:00,2025-12-21 03:31:00,293,480.4
85,CloudJet,CL,INI,BEG,2025-11-14 05:22:00,2025-11-14 08:41:00,199,224.69
86,CloudJet,CL,KVO,FCO,2025-11-20 06:46:00,2025-11-20 08:40:00,114,367.0
87,EuroWings,EU,VCE,WAW,2025-10-23 18:56:00,2025-10-23 23:54:00,298,489.61
88,CloudJet,CL,EIN,TZL,2025-09-29 04:30:00,2025-09-29 06:55:00,145,152.66
89,CloudJet,CL,MSQ,PRG,2025-10-26 11:41:00,2025-10-26 14:21:00,160,122.94
90,CloudJet,CL,SKP,LED,2025-12-27 04:13:00,2025-12-27 06:25:00,132,462.93
91,EuroWings,EU,ANR,KUN,2025-09-17 18:46:00,2025-09-17 21:15:00,149,260.24
92,EuroWings,EU,OTP,BZY,2025-12-26 09:59:00,2025-12-26 11:47:00,108,449.96
93,SkyBridge,SK,DME,BQT,2025-10-23 16:25:00,2025-10-23 18:35:00,130,314.34
94,EuroWings,EU,RTM,BCN,2025-07-10 15:58:00,2025-07-10 20:28:00,270,279.9
95,NubeAir,NU,MXP,FCO,2025-12-09 09:04:00,2025-12-09 13:38:00,274,92.19
96,CloudJet,CL,LIS,OPO,2025-07-16 12:50:00,2025-07-16 14:24:00,94,256.89
97,EuroWings,EU,IVG,TGD,2025-11-08 14:16:00,2025-11-08 19:15:00,299,313.1
98,NubeAir,NU,BQT,FAE,2025-10-24 10:35:00,2025-10-24 15:26:00,291,431.06
99,EuroWings,EU,POW,FCO,2025-08-31 16:42:00,2025-08-31 20:12:00,210,428.1
100,SkyBridge,SK,SKP,KFZ,2025-12-26 19:21:00,2025-12-26 23:05:00,224,143.16
101,Aetherium Air,AE,OHD,GIB,2025-08-17 12:13:00,2025-08-17 16:24:00,251,386.96
102,CloudJet,CL,ACI,BUD,2025-08-13 13:16:00,2025-08-13 15:43:00,147,64.74
103,EuroWings,EU,ZRH,TZL,2025-09-25 08:18:00,2025-09-25 10:31:00,133,433.44
104,SkyBridge,SK,LIS,HER,2025-08-20 03:04:00,2025-08-20 06:46:00,222,484.09
105,CloudJet,CL,WAW,MSQ,2025-08-18 04:00:00,2025-08-18 06:40:00,160,348.83
106,EuroWings,EU,GDN,GVA,2025-08-18 02:57:00,2025-08-18 04:53:00,116,295.94
107,SkyBridge,SK,RTM,BLL,2025-10-27 04:19:00,2025-10-27 07:11:00,172,104.92
108,CloudJet,CL,EIN,MUC,2025-10-29 14:54:00,2025-10-29 17:16:00,142,67.18
109,SkyBridge,SK,AGP,SPU,2025-10-17 21:21:00,2025-10-17 22:42:00,81,225.47
110,NubeAir,NU,BBU,ARN,2025-10-10 12:53:00,2025-10-10 14:46:00,113,498.53
111,CloudJet,CL,OTP,BRQ,2025-07-13 03:43:00,2025-07-13 06:50:00,187,297.79
112,Aetherium Air,AE,SJJ,WAW,2025-07-12 03:34:00,2025-07-12 07:05:00,211,208.3
113,SkyBridge,SK,OTP,MXP,2025-08-11 00:23:00,2025-08-11 04:25:00,242,79.43
114,EuroWings,EU,OUL,BTS,2025-09-25 06:06:00,2025-09-25 10:03:00,237,166.55
115,EuroWings,EU,IEV,SJJ,2025-07-28 00:25:00,2025-07-28 02:24:00,119,313.85
116,Aetherium Air,AE,KLV,BOJ,2025-12-04 10:47:00,2025-12-04 12:30:00,103,281.84
117,NubeAir,NU,KLV,VIE,2025-12-25 04:46:00,2025-12-25 06:44:00,118,471.88
118,Aetherium Air,AE,RTM,MUC,2025-08-14 23:47:00,2025-08-15 01:19:00,92,93.08
119,NubeAir,NU,IEV,OHD,2025-08-17 00:10:00,2025-08-17 01:27:00,77,332.06
120,Aetherium Air,AE,BZY,SKP,2025-10-01 16:10:00,2025-10-01 20:58:00,288,148.64
121,CloudJet,CL,BEG,GCI,2025-09-10 13:03:00,2025-09-10 14:13:00,70,194.87
122,Aetherium Air,AE,ATH,HEL,2025-07-04 13:57:00,2025-07-04 15:47:00,110,328.98
123,Aetherium Air,AE,BRQ,OPO,2025-08-24 00:31:00,2025-08-24 03:26:00,175,315.35
124,NubeAir,NU,VIE,OHD,2025-12-27 05:07:00,2025-12-27 06:28:00,81,473.44
125,SkyBridge,SK,TEQ,BRQ,2025-07-08 04:12:00,2025-07-08 07:14:00,182,362.29
126,EuroWings,EU,BTS,ATH,2025-12-19 06:55:00,2025-12-19 08:12:00,77,477.88
127,EuroWings,EU,TZL,CLJ,2025-10-15 00:37:00,2025-10-15 02:13:00,96,412.44
128,NubeAir,NU,MXP,TLL,2025-08-23 02:25:00,2025-08-23 06:10:00,225,350.68
129,NubeAir,NU,TZL,DUS,2025-08-29 07:08:00,2025-08-29 10:15:00,187,408.95
130,Aetherium Air,AE,MBX,SVO,2025-08-21 03:02:00,2025-08-21 04:45:00,103,148.89
131,SkyBridge,SK,ATH,OUL,2025-07-07 08:02:00,2025-07-07 09:49:00,107,226.41
132,NubeAir,NU,ATH,DBV,2025-12-01 00:06:00,2025-12-01 01:12:00,66,470.47
133,CloudJet,CL,GVA,DEB,2025-09-22 18:49:00,2025-09-22 22:25:00,216,355.24
134,CloudJet,CL,BNX,ZAG,2025-12-19 02:14:00,2025-12-19 06:56:00,282,283.93
135,CloudJet,CL,EIN,PRG,2025-08-29 20:24:00,2025-08-30 01:00:00,276,397.34
136,Aetherium Air,AE,BOJ,GIB,2025-08-03 04:27:00,2025-08-03 05:42:00,75,338.25
137,EuroWings,EU,MBX,TIA,2025-08-15 21:57:00,2025-08-16 01:29:00,212,320.67
138,NubeAir,NU,CLJ,URE,2025-08-22 07:12:00,2025-08-22 10:25:00,193,119.48
139,Aetherium Air,AE,TGD,TZL,2025-08-15 16:03:00,2025-08-15 19:19:00,196,174.11
140,NubeAir,NU,LGW,FCO,2025-07-10 13:10:00,2025-07-10 16:02:00,172,445.99
141,NubeAir,NU,SJJ,MXP,2025-10-10 13:50:00,2025-10-10 17:02:00,192,370.37
142,CloudJet,CL,BRU,LED,2025-12-25 13:47:00,2025-12-25 16:44:00,177,278.94
143,Aetherium Air,AE,SNN,BQT,2025-07-03 15:18:00,2025-07-03 19:48:00,270,247.75
144,SkyBridge,SK,MSQ,GCI,2025-11-09 00:02:00,2025-11-09 03:09:00,187,87.05
145,CloudJet,CL,BEG,ZRH,2025-12-24 08:06:00,2025-12-24 13:05:00,299,395.72
146,CloudJet,CL,NYO,FRA,2025-07-23 22:14:00,2025-07-24 00:35:00,141,294.69
147,NubeAir,NU,AEY,OUL,2025-09-25 06:56:00,2025-09-25 09:31:00,155,356.06
148,SkyBridge,SK,GOT,POW,2025-12-27 21:51:00,2025-12-27 23:18:00,87,384.27
149,CloudJet,CL,SLD,DBV,2025-11-10 06:16:00,2025-11-10 08:30:00,134,384.34
150,EuroWings,EU,DUS,MUC,2025-11-10 01:00:00,2025-11-10 03:28:00,148,465.87
151,Aetherium Air,AE,VCE,HEL,2025-08-04 06:53:00,2025-08-04 09:41:00,168,288.46
152,Aetherium Air,AE,JER,DUB,2025-07-06 22:38:00,2025-07-07 00:31:00,113,146.26
153,SkyBridge,SK,OTP,PRG,2025-08-08 18:27:00,2025-08-08 23:12:00,285,162.09
154,SkyBridge,SK,SKP,BOJ,2025-07-12 01:01:00,2025-07-12 02:48:00,107,302.57
155,Aetherium Air,AE,FCO,BEG,2025-11-27 07:23:00,2025-11-27 08:26:00,63,159.95
156,Aetherium Air,AE,ANR,RKV,2025-08-03 09:14:00,2025-08-03 12:03:00,169,59.94
157,EuroWings,EU,LHR,OHD,2025-12-15 18:23:00,2025-12-15 21:14:00,171,156.32
158,Aetherium Air,AE,KVO,AEY,2025-08-10 04:17:00,2025-08-10 06:20:00,123,85.79
159,SkyBridge,SK,SJJ,EIN,2025-09-22 05:52:00,2025-09-22 07:17:00,85,165.21
160,NubeAir,NU,VIE,NYO,2025-09-07 03:39:00,2025-09-07 08:36:00,297,132.68
161,SkyBridge,SK,LED,EIN,2025-10-25 18:53:00,2025-10-25 22:01:00,188,237.12
162,Aetherium Air,AE,GVA,JER,2025-10-31 17:01:00,2025-10-31 20:31:00,210,426.65
163,CloudJet,CL,KUN,POW,2025-10-02 04:54:00,2025-10-02 07:32:00,158,226.08
164,SkyBridge,SK,INN,IVG,2025-09-19 21:42:00,2025-09-19 23:17:00,95,96.91
165,Aetherium Air,AE,ZAG,SJJ,2025-08-18 17:28:00,2025-08-18 19:08:00,100,227.86
166,CloudJet,CL,EIN,AGP,2025-11-03 18:57:00,2025-11-03 23:19:00,262,211.39
167,Aetherium Air,AE,BRN,BNX,2025-12-19 21:15:00,2025-12-20 00:07:00,172,229.88
168,NubeAir,NU,FAE,LJU,2025-10-07 03:33:00,2025-10-07 07:24:00,231,436.78
169,CloudJet,CL,DUS,JER,2025-11-15 06:51:00,2025-11-15 11:41:00,290,493.95
170,SkyBridge,SK,SJJ,TZL,2025-09-16 19:26:00,2025-09-16 23:28:00,242,439.94
171,CloudJet,CL,LHR,SLD,2025-09-28 08:34:00,2025-09-28 10:17:00,103,373.11
172,NubeAir,NU,IOM,OHD,2025-07-12 06:35:00,2025-07-12 08:48:00,133,186.05
173,EuroWings,EU,KSC,KVO,2025-11-15 02:31:00,2025-11-15 04:10:00,99,206.21
174,EuroWings,EU,ATH,URE,2025-08-08 08:00:00,2025-08-08 09:09:00,69,313.67
175,SkyBridge,SK,GVA,TLL,2025-08-20 01:30:00,2025-08-20 06:15:00,285,99.36
176,SkyBridge,SK,JER,FRA,2025-09-05 08:33:00,2025-09-05 13:24:00,291,338.67
177,EuroWings,EU,BOJ,KRK,2025-11-05 02:46:00,2025-11-05 06:48:00,242,288.49
178,NubeAir,NU,TZL,AGP,2025-09-05 12:50:00,2025-09-05 15:04:00,134,85.64
179,EuroWings,EU,OTP,MAD,2025-11-07 05:35:00,2025-11-07 10:01:00,266,419.64
180,EuroWings,EU,DME,PRG,2025-12-11 10:38:00,2025-12-11 12:39:00,121,425.06
181,SkyBridge,SK,TEQ,GVA,2025-12-12 08:16:00,2025-12-12 11:11:00,175,226.77
182,Aetherium Air,AE,DEB,SJJ,2025-09-19 22:20:00,2025-09-20 03:19:00,299,61.03
183,EuroWings,EU,BLL,KUN,2025-12-28 00:07:00,2025-12-28 02:06:00,119,221.2
184,EuroWings,EU,TLL,FCO,2025-09-08 07:46:00,2025-09-08 09:20:00,94,223.37
185,SkyBridge,SK,LGW,MBX,2025-09-17 02:04:00,2025-09-17 06:50:00,286,328.17
186,EuroWings,EU,PLQ,KVO,2025-11-26 10:25:00,2025-11-26 15:13:00,288,146.01
187,Aetherium Air,AE,INI,CPH,2025-09-09 00:59:00,2025-09-09 03:44:00,165,102.75
188,SkyBridge,SK,SLD,BRQ,2025-07-29 05:45:00,2025-07-29 09:26:00,221,255.9
189,CloudJet,CL,VIE,VAR,2025-10-29 13:25:00,2025-10-29 15:14:00,109,380.28
190,CloudJet,CL,SLD,ZRH,2025-10-15 15:13:00,2025-10-15 19:00:00,227,75.75
191,CloudJet,CL,RKV,LHR,2025-12-13 03:04:00,2025-12-13 06:58:00,234,445.99
192,SkyBridge,SK,RMO,URE,2025-10-19 13:04:00,2025-10-19 14:14:00,70,84.34
193,Aetherium Air,AE,AAL,LGW,2025-09-09 12:51:00,2025-09-09 16:21:00,210,227.0
194,Aetherium Air,AE,AEY,LJU,2025-08-11 05:37:00,2025-08-11 09:20:00,223,400.06
195,SkyBridge,SK,BNX,SKP,2025-09-28 06:41:00,2025-09-28 09:02:00,141,483.06
196,Aetherium Air,AE,RTM,SKP,2025-12-14 09:19:00,2025-12-14 13:26:00,247,151.6
197,EuroWings,EU,URE,DME,2025-07-07 21:45:00,2025-07-08 00:34:00,169,464.5
198,NubeAir,NU,FAE,MLA,2025-09-23 03:12:00,2025-09-23 05:26:00,134,150.67
199,NubeAir,NU,DBV,URE,2025-11-06 15:32:00,2025-11-06 20:13:00,281,450.76
200,EuroWings,EU,GIB,BCN,2025-07-24 00:55:00,2025-07-24 02:49:00,114,78.55
201,Aetherium Air,AE,HEL,GME,2025-08-30 19:52:00,2025-08-30 21:29:00,97,185.59
202,CloudJet,CL,IOM,LED,2025-09-14 21:11:00,2025-09-15 02:05:00,294,421.6
203,NubeAir,NU,IOM,SVO,2025-07-20 04:21:00,2025-07-20 09:14:00,293,335.51
204,EuroWings,EU,ARN,KRK,2025-11-09 10:02:00,2025-11-09 13:59:00,237,374.71
205,NubeAir,NU,TEQ,VNT,2025-10-11 12:46:00,2025-10-11 17:18:00,272,368.97
206,Aetherium Air,AE,TIA,KRK,2025-07-13 08:58:00,2025-07-13 11:49:00,171,447.16
207,Aetherium Air,AE,ANR,AMS,2025-10-08 13:32:00,2025-10-08 16:57:00,205,64.88
208,Aetherium Air,AE,AGP,KFZ,2025-12-04 00:39:00,2025-12-04 05:16:00,277,382.46
209,SkyBridge,SK,SJJ,MXP,2025-09-30 15:36:00,2025-09-30 19:42:00,246,101.57
210,EuroWings,EU,URE,BNX,2025-08-14 07:49:00,2025-08-14 10:23:00,154,351.69
211,Aetherium Air,AE,LHR,ZRH,2025-12-16 21:36:00,2025-12-17 00:31:00,175,314.2
212,SkyBridge,SK,LED,SVO,2025-07-28 16:33:00,2025-07-28 19:37:00,184,196.61
213,Aetherium Air,AE,LHR,EIN,2025-07-03 14:21:00,2025-07-03 16:02:00,101,276.33
214,Aetherium Air,AE,BRN,DME,2025-11-27 12:08:00,2025-11-27 13:51:00,103,206.48
215,Aetherium Air,AE,MUC,TIA,2025-08-30 07:08:00,2025-08-30 09:14:00,126,96.63
216,Aetherium Air,AE,MAD,BRQ,2025-11-16 10:12:00,2025-11-16 12:12:00,120,144.53
217,CloudJet,CL,OHD,SOF,2025-12-17 13:04:00,2025-12-17 15:52:00,168,478.24
218,SkyBridge,SK,CRL,DBV,2025-07-05 00:17:00,2025-07-05 03:41:00,204,160.89
219,NubeAir,NU,VNO,KFZ,2025-11-25 09:27:00,2025-11-25 12:29:00,182,69.92
220,CloudJet,CL,GDN,BQT,2025-11-27 16:31:00,2025-11-27 18:03:00,92,488.28
221,SkyBridge,SK,BOJ,IVG,2025-11-18 16:37:00,2025-11-18 20:50:00,253,310.57
222,NubeAir,NU,RVN,NYO,2025-10-10 15:11:00,2025-10-10 19:38:00,267,322.65
223,CloudJet,CL,RVN,EIN,2025-12-23 09:23:00,2025-12-23 11:22:00,119,64.41
224,Aetherium Air,AE,VNT,GCI,2025-11-29 16:16:00,2025-11-29 18:33:00,137,423.4
225,Aetherium Air,AE,LGW,ACI,2025-12-08 00:12:00,2025-12-08 01:45:00,93,146.76
226,NubeAir,NU,SZG,CPH,2025-07-30 03:43:00,2025-07-30 07:50:00,247,385.54
227,Aetherium Air,AE,INI,KFZ,2025-08-04 22:44:00,2025-08-05 02:11:00,207,104.41
228,CloudJet,CL,URE,MBX,2025-07-20 16:53:00,2025-07-20 17:58:00,65,349.77
229,Aetherium Air,AE,GME,LPX,2025-09-19 22:32:00,2025-09-20 02:45:00,253,283.68
230,CloudJet,CL,JER,BRU,2025-07-11 12:42:00,2025-07-11 16:46:00,244,421.36
231,Aetherium Air,AE,BUD,TIA,2025-08-13 16:59:00,2025-08-13 19:38:00,159,383.13
232,NubeAir,NU,FAE,SKG,2025-08-23 04:00:00,2025-08-23 06:35:00,155,486.73
233,CloudJet,CL,SOF,RMO,2025-10-24 04:40:00,2025-10-24 08:22:00,222,92.18
234,SkyBridge,SK,KVO,VAR,2025-11-21 19:48:00,2025-11-22 00:14:00,266,410.44
235,Aetherium Air,AE,KEF,IVG,2025-07-16 10:31:00,2025-07-16 14:00:00,209,125.11
236,SkyBridge,SK,URE,LED,2025-12-17 23:07:00,2025-12-18 00:31:00,84,298.81
237,NubeAir,NU,BLL,DME,2025-11-08 17:49:00,2025-11-08 19:40:00,111,246.8
238,NubeAir,NU,RTM,RKV,2025-10-13 23:38:00,2025-10-14 02:39:00,181,120.01
239,Aetherium Air,AE,STN,KSC,2025-09-26 18:10:00,2025-09-26 19:36:00,86,154.62
240,Aetherium Air,AE,BZY,KFZ,2025-08-29 10:06:00,2025-08-29 12:45:00,159,315.35
241,CloudJet,CL,HER,ODS,2025-10-09 15:24:00,2025-10-09 17:49:00,145,284.95
242,Aetherium Air,AE,SZG,KLV,2025-09-14 12:03:00,2025-09-14 16:02:00,239,79.27
243,Aetherium Air,AE,SKG,LIS,2025-12-10 14:03:00,2025-12-10 17:01:00,178,257.08
244,SkyBridge,SK,MBX,POW,2025-12-26 12:19:00,2025-12-26 15:47:00,208,220.2
245,Aetherium Air,AE,NYO,MCM,2025-07-27 23:12:00,2025-07-28 03:11:00,239,148.17
246,NubeAir,NU,MCM,ZAG,2025-07-07 14:11:00,2025-07-07 16:47:00,156,83.12
247,EuroWings,EU,MAD,AAL,2025-11-27 15:48:00,2025-11-27 19:05:00,197,420.29
248,NubeAir,NU,ZAG,KFZ,2025-08-31 18:12:00,2025-08-31 22:31:00,259,494.93
249,NubeAir,NU,BCN,TLL,2025-11-22 08:56:00,2025-11-22 13:33:00,277,387.05
250,EuroWings,EU,DEB,GOT,2025-07-24 21:07:00,2025-07-24 23:28:00,141,270.81
251,NubeAir,NU,KLV,VNO,2025-07-06 18:02:00,2025-07-06 21:57:00,235,161.54
252,EuroWings,EU,SVO,TAY,2025-11-17 13:43:00,2025-11-17 14:58:00,75,414.99
253,NubeAir,NU,VAR,PRG,2025-08-02 08:18:00,2025-08-02 10:55:00,157,152.49
254,NubeAir,NU,MBX,FAO,2025-11-01 01:50:00,2025-11-01 05:04:00,194,150.45
255,CloudJet,CL,BZY,MAD,2025-07-29 06:57:00,2025-07-29 08:02:00,65,76.56
256,SkyBridge,SK,RTM,GCI,2025-09-28 19:32:00,2025-09-29 00:24:00,292,402.57
257,CloudJet,CL,TZL,DME,2025-08-11 23:35:00,2025-08-12 01:07:00,92,424.74
258,EuroWings,EU,INN,BTS,2025-09-03 11:24:00,2025-09-03 13:19:00,115,213.61
259,CloudJet,CL,DEB,ACI,2025-10-06 04:57:00,2025-10-06 06:35:00,98,78.1
260,CloudJet,CL,LED,IEV,2025-09-07 19:48:00,2025-09-07 22:19:00,151,137.9
261,CloudJet,CL,RMO,CRL,2025-08-15 08:28:00,2025-08-15 13:21:00,293,428.48
262,EuroWings,EU,CPH,DUB,2025-10-09 04:41:00,2025-10-09 07:11:00,150,132.34
263,NubeAir,NU,FAE,BBU,2025-08-22 11:16:00,2025-08-22 15:20:00,244,281.47
264,EuroWings,EU,LJU,SVO,2025-11-03 12:50:00,2025-11-03 15:15:00,145,302.4
265,Aetherium Air,AE,FCO,SOF,2025-11-20 11:16:00,2025-11-20 15:11:00,235,344.99
266,NubeAir,NU,SPU,SVO,2025-09-21 21:21:00,2025-09-22 02:20:00,299,150.39
267,CloudJet,CL,KEF,ZRH,2025-11-21 23:21:00,2025-11-22 00:44:00,83,58.51
268,Aetherium Air,AE,ARN,IEV,2025-08-21 09:54:00,2025-08-21 12:04:00,130,165.31
