flightNumber,airlineName,flightCode,departureAirportCode,arrivalAirportCode,departureTime,arrivalTime,durationMinutes,price
146,KLM,KL495,UKX,BZE,2025-06-13 02:41:29,2025-06-13 04:01:29,80,181.22
147,Air France,AI959,EYE,CWI,2025-05-30 13:05:43,2025-05-30 16:51:43,226,167.35
148,Iberia,IB393,DPV,NWB,2025-07-05 19:17:35,2025-07-05 22:17:35,180,293.63
149,TAP Air Portugal,TA730,OON,WAF,2025-06-10 03:45:31,2025-06-10 04:46:31,61,367.05
150,KLM,KL955,VJQ,JJV,2025-06-16 07:45:50,2025-06-16 09:23:50,98,242.08
151,Swiss,SW213,ZNA,XFT,2025-06-07 06:59:41,2025-06-07 09:12:41,133,133.17
152,KLM,KL529,XDG,INT,2025-05-26 17:46:03,2025-05-26 21:29:03,223,327.86
153,Air France,AI956,FPA,LMY,2025-06-29 20:14:38,2025-06-29 23:21:38,187,258.86
154,KLM,KL835,UYO,VNM,2025-07-02 13:10:56,2025-07-02 14:46:56,96,151.95
155,KLM,KL684,ZIU,UUY,2025-07-19 04:46:53,2025-07-19 07:32:53,166,115.56
156,Alitalia,AL169,BSA,CSW,2025-06-16 03:58:35,2025-06-16 07:12:35,194,240.43
157,Iberia,IB499,UKD,LZX,2025-06-05 09:32:43,2025-06-05 12:32:43,180,65.24
158,British Airways,BR865,DAR,FEJ,2025-05-30 13:17:34,2025-05-30 14:21:34,64,174.98
159,KLM,KL850,AEJ,RDP,2025-06-26 15:04:51,2025-06-26 18:52:51,228,269.89
160,Lufthansa,LU145,DWB,DPV,2025-06-07 10:10:48,2025-06-07 12:40:48,150,241.1
161,TAP Air Portugal,TA746,XYB,JZX,2025-07-15 23:32:12,2025-07-16 01:18:12,106,334.02
162,Iberia,IB400,XNP,HDP,2025-06-02 07:12:41,2025-06-02 09:03:41,111,65.33
163,Alitalia,AL417,JJV,INT,2025-05-23 06:39:18,2025-05-23 09:50:18,191,189.38
164,British Airways,BR137,AXB,ZHQ,2025-07-11 23:03:20,2025-07-12 02:48:20,225,116.89
165,Alitalia,AL379,MRR,JJV,2025-07-03 03:45:30,2025-07-03 05:16:30,91,329.77
166,TAP Air Portugal,TA495,VYX,FEJ,2025-07-04 22:58:51,2025-07-05 01:24:51,146,390.8
167,Alitalia,AL916,DPS,KHW,2025-07-08 21:12:56,2025-07-09 00:24:56,192,143.35
168,Air France,AI540,SKC,QRM,2025-06-02 09:55:07,2025-06-02 13:29:07,214,398.28
169,British Airways,BR428,UUY,LZX,2025-06-12 16:51:01,2025-06-12 18:17:01,86,78.02
170,TAP Air Portugal,TA717,NKL,KCQ,2025-06-10 15:07:40,2025-06-10 17:56:40,169,108.33
171,TAP Air Portugal,TA143,DPV,SKY,2025-06-09 09:45:54,2025-06-09 12:15:54,150,265.2
172,Iberia,IB176,HBZ,FWF,2025-06-16 18:03:45,2025-06-16 21:54:45,231,273.13
173,Lufthansa,LU131,FWF,QRM,2025-06-18 20:45:54,2025-06-18 22:21:54,96,347.03
174,Lufthansa,LU168,RKP,VXZ,2025-07-08 21:15:36,2025-07-08 23:15:36,120,322.48
175,Swiss,SW680,MTL,KAM,2025-06-28 00:03:38,2025-06-28 01:11:38,68,261.78
176,Alitalia,AL554,DAR,NDT,2025-06-03 13:09:05,2025-06-03 14:28:05,79,250.87
177,Swiss,SW421,GMB,OON,2025-07-02 18:47:12,2025-07-02 22:33:12,226,147.54
178,Lufthansa,LU611,KEB,JMF,2025-06-10 23:11:30,2025-06-11 02:23:30,192,185.45
179,British Airways,BR893,FWF,ZID,2025-07-19 04:03:33,2025-07-19 06:09:33,126,296.41
180,TAP Air Portugal,TA304,YHV,DKP,2025-06-11 20:04:17,2025-06-11 21:35:17,91,97.5
181,Lufthansa,LU830,JJV,UST,2025-06-18 09:07:35,2025-06-18 12:00:35,173,399.04
182,Air France,AI663,UKX,UST,2025-06-09 07:00:47,2025-06-09 10:18:47,198,151.63
183,Lufthansa,LU912,SKY,SCB,2025-07-01 12:32:48,2025-07-01 15:04:48,152,228.06
184,Lufthansa,LU342,WMV,BRL,2025-06-08 10:03:26,2025-06-08 13:09:26,186,59.2
185,Alitalia,AL578,LUW,DDP,2025-06-30 13:41:42,2025-06-30 17:02:42,201,95.42
186,British Airways,BR507,BZE,CWI,2025-06-05 01:50:11,2025-06-05 04:52:11,182,233.99
187,Air France,AI228,LZX,WOK,2025-05-24 16:48:40,2025-05-24 19:09:40,141,274.82
188,Alitalia,AL231,KAH,HSU,2025-06-19 01:57:48,2025-06-19 05:18:48,201,273.93
189,Swiss,SW614,RGJ,FWX,2025-06-16 07:48:07,2025-06-16 09:02:07,74,340.99
190,British Airways,BR268,BNH,PZF,2025-06-13 18:29:10,2025-06-13 20:10:10,101,162.93
191,British Airways,BR966,VRL,EYE,2025-07-20 21:03:51,2025-07-20 22:23:51,80,137.71
192,Lufthansa,LU740,XYB,AWS,2025-07-04 16:37:00,2025-07-04 18:54:00,137,265.05
193,Lufthansa,LU706,XJT,WZR,2025-06-15 00:23:16,2025-06-15 03:51:16,208,103.97
194,Iberia,IB945,KAH,NBK,2025-06-26 19:05:00,2025-06-26 20:12:00,67,78.43
195,KLM,KL885,JRO,DEJ,2025-07-17 12:01:39,2025-07-17 15:27:39,206,195.81
196,British Airways,BR757,NWB,FPA,2025-07-05 09:21:53,2025-07-05 11:38:53,137,219.03
197,TAP Air Portugal,TA174,RKP,ZHQ,2025-05-30 05:33:02,2025-05-30 09:29:02,236,70.97
198,TAP Air Portugal,TA575,AEJ,UFU,2025-05-22 21:48:46,2025-05-22 23:40:46,112,169.07
199,Alitalia,AL851,AXB,SCB,2025-07-06 10:20:18,2025-07-06 12:48:18,148,391.38
200,Air France,AI426,TIM,KXQ,2025-06-03 20:09:17,2025-06-03 22:10:17,121,213.27
201,KLM,KL244,JLU,APR,2025-06-22 06:58:57,2025-06-22 08:22:57,84,67.71
202,KLM,KL986,VRY,SCB,2025-06-29 12:08:04,2025-06-29 13:48:04,100,334.72
203,KLM,KL881,FAH,UYO,2025-06-11 12:16:04,2025-06-11 13:56:04,100,224.39
204,TAP Air Portugal,TA415,XDE,LUW,2025-06-28 03:22:27,2025-06-28 06:29:27,187,58.11
205,TAP Air Portugal,TA346,NBK,BTY,2025-07-02 00:06:15,2025-07-02 02:01:15,115,254.17
206,British Airways,BR606,XDG,ORX,2025-07-18 21:19:56,2025-07-19 00:51:56,212,358.82
207,Iberia,IB967,HBL,UYO,2025-06-15 18:48:50,2025-06-15 20:15:50,87,200.82
208,Swiss,SW474,AEJ,CWI,2025-05-28 23:59:48,2025-05-29 01:10:48,71,190.2
209,KLM,KL471,CSW,CSW,2025-05-31 03:46:55,2025-05-31 07:07:55,201,151.01
210,TAP Air Portugal,TA882,GMB,XFT,2025-07-14 23:40:08,2025-07-15 03:00:08,200,147.9
211,Lufthansa,LU199,KVO,FAH,2025-05-27 14:40:04,2025-05-27 17:20:04,160,180.62
212,Alitalia,AL873,WAF,JLU,2025-05-26 23:11:46,2025-05-27 00:47:46,96,119.67
213,Iberia,IB146,UUY,WGE,2025-06-23 05:23:27,2025-06-23 06:32:27,69,97.96
214,TAP Air Portugal,TA252,MWM,WOK,2025-06-13 16:59:06,2025-06-13 20:34:06,215,362.6
215,Alitalia,AL266,IHN,ZID,2025-07-06 15:07:01,2025-07-06 17:47:01,160,396.72
216,Alitalia,AL619,VRY,MRR,2025-06-25 07:20:51,2025-06-25 10:30:51,190,236.32
217,TAP Air Portugal,TA935,NSJ,LOD,2025-07-19 18:43:11,2025-07-19 19:47:11,64,178.93
218,British Airways,BR915,LQM,VRL,2025-07-18 23:44:48,2025-07-19 03:40:48,236,270.24
219,British Airways,BR771,FWX,VRK,2025-05-26 07:48:55,2025-05-26 11:16:55,208,252.17
220,TAP Air Portugal,TA274,PBT,VNM,2025-05-22 10:15:25,2025-05-22 13:29:25,194,270.16
221,Lufthansa,LU941,NWB,SFY,2025-06-15 12:49:42,2025-06-15 16:43:42,234,134.77
222,KLM,KL119,LSJ,KEB,2025-07-09 21:25:59,2025-07-10 00:17:59,172,159.79
223,KLM,KL520,XDG,LSJ,2025-06-27 21:24:50,2025-06-28 00:32:50,188,321.24
224,Lufthansa,LU631,DPD,FWX,2025-06-20 06:39:29,2025-06-20 08:32:29,113,246.31
225,Swiss,SW421,SKY,MWM,2025-06-29 05:28:30,2025-06-29 07:12:30,104,210.88
226,Alitalia,AL792,EGF,CRF,2025-06-26 22:01:38,2025-06-27 01:55:38,234,275.16
227,KLM,KL352,CQK,NWB,2025-06-03 17:54:08,2025-06-03 20:05:08,131,245.33
228,British Airways,BR821,KVO,MWM,2025-07-15 05:38:06,2025-07-15 07:31:06,113,291.58
229,TAP Air Portugal,TA457,SPH,FWF,2025-05-25 21:35:35,2025-05-26 00:58:35,203,376.8
230,Air France,AI687,HSU,WAF,2025-07-17 06:23:51,2025-07-17 10:16:51,233,240.12
231,Lufthansa,LU397,ZHQ,CSW,2025-06-08 07:43:57,2025-06-08 08:53:57,70,150.67
232,TAP Air Portugal,TA771,VRY,UTT,2025-06-16 04:17:18,2025-06-16 06:22:18,125,311.57
233,British Airways,BR675,HUU,DMU,2025-06-07 09:34:57,2025-06-07 13:32:57,238,145.07
234,KLM,KL348,BZM,TIM,2025-07-09 19:34:47,2025-07-09 20:46:47,72,284.44
235,KLM,KL153,SFY,BTY,2025-07-08 18:09:54,2025-07-08 19:34:54,85,194.66
236,Lufthansa,LU105,HMH,XDJ,2025-06-23 20:06:14,2025-06-23 23:26:14,200,392.27
237,TAP Air Portugal,TA588,JRO,NBK,2025-07-06 08:28:54,2025-07-06 12:14:54,226,119.81
238,British Airways,BR761,WOK,DPS,2025-06-03 17:09:35,2025-06-03 18:24:35,75,367.78
239,KLM,KL647,AWS,PBT,2025-05-30 14:39:35,2025-05-30 15:48:35,69,369.63
240,Lufthansa,LU137,DPS,ENG,2025-06-21 17:10:05,2025-06-21 19:51:05,161,325.79
241,Iberia,IB109,VYX,OON,2025-07-12 09:44:31,2025-07-12 12:00:31,136,248.79
242,British Airways,BR565,MRR,ZHQ,2025-07-02 22:33:51,2025-07-03 02:17:51,224,240.16
243,TAP Air Portugal,TA379,WZR,NKL,2025-06-04 16:10:22,2025-06-04 17:59:22,109,333.08
244,TAP Air Portugal,TA763,JES,UYO,2025-06-16 04:33:17,2025-06-16 06:38:17,125,301.51
245,British Airways,BR681,VXZ,ZIU,2025-06-02 06:01:36,2025-06-02 09:53:36,232,315.05
246,Swiss,SW627,OON,KAM,2025-06-21 07:44:09,2025-06-21 10:07:09,143,80.36
247,Lufthansa,LU588,AKX,CWI,2025-05-26 04:40:13,2025-05-26 07:02:13,142,377.54
248,Swiss,SW341,EYE,JRO,2025-06-03 07:43:37,2025-06-03 10:37:37,174,313.81
249,Iberia,IB367,WIX,QCH,2025-07-09 09:00:36,2025-07-09 12:47:36,227,175.84
250,Air France,AI576,XJT,NDT,2025-06-18 04:32:38,2025-06-18 06:50:38,138,105.9
251,Air France,AI754,VRK,PZF,2025-06-25 22:00:20,2025-06-26 00:15:20,135,178.64
252,Lufthansa,LU589,UST,XDJ,2025-07-02 15:56:17,2025-07-02 17:35:17,99,209.24
253,Swiss,SW818,KCQ,VIO,2025-06-18 09:01:45,2025-06-18 12:21:45,200,369.48
254,KLM,KL796,OEY,OPD,2025-06-16 11:06:13,2025-06-16 14:38:13,212,355.6
255,TAP Air Portugal,TA640,LAH,PBT,2025-07-20 09:59:56,2025-07-20 13:59:56,240,176.62
256,Iberia,IB948,XDJ,QRM,2025-06-16 12:21:55,2025-06-16 15:41:55,200,366.01
257,Lufthansa,LU268,VIO,OIG,2025-07-11 02:23:55,2025-07-11 04:46:55,143,349.07
258,KLM,KL834,QRM,GAR,2025-06-21 07:07:54,2025-06-21 10:36:54,209,221.09
259,Iberia,IB564,PBT,EGF,2025-07-03 05:11:42,2025-07-03 06:44:42,93,229.64
260,Iberia,IB672,LCB,MRR,2025-06-06 22:12:18,2025-06-07 01:10:18,178,285.47
261,Swiss,SW360,EYE,JUU,2025-06-21 13:01:59,2025-06-21 14:01:59,60,311.03
262,Iberia,IB533,CSW,KAH,2025-07-08 14:31:05,2025-07-08 16:59:05,148,295.13
263,Air France,AI583,NBK,MRR,2025-06-05 14:14:14,2025-06-05 15:22:14,68,150.48
264,Swiss,SW483,CWI,WMV,2025-07-14 20:34:51,2025-07-14 23:11:51,157,206.99
265,Air France,AI799,RGY,AWS,2025-07-03 15:00:54,2025-07-03 18:49:54,229,356.09
266,Air France,AI282,VRY,VNM,2025-05-27 01:46:54,2025-05-27 05:03:54,197,187.57
267,Iberia,IB874,ZID,GMB,2025-06-09 05:58:49,2025-06-09 07:03:49,65,392.47
